dmf20211105_98345514	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	1	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 	2	10000000	lifestyle and leisure 	4	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	3	17000000	weather 		NONE
dmf20211121_94371352	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	4	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 	5	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
dmf20211118_94123265	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 	3	3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	4	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	2	12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 		17000000	weather 		NONE
320408a	TOPIC	1000000	arts, culture, entertainment and media 	1	16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 	3	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
1636534817946	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	1	8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	3	12000000	religion 		13000000	science and technology 	4	14000000	society 	2	15000000	sport 		17000000	weather 		NONE
fd8da53	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211108_94685294	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	3	9000000	labour 		10000000	lifestyle and leisure 	2	11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 	1	17000000	weather 		NONE
dmf20211124_96412930	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	2	5000000	education 		6000000	environment 		7000000	health 	5	8000000	human interest 		9000000	labour 	1	10000000	lifestyle and leisure 	4	11000000	politics 	3	12000000	religion 		13000000	science and technology 		14000000	society 		15000000	sport 		17000000	weather 		NONE
d1be402f	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 		5000000	education 		6000000	environment 		7000000	health 	2	8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	3	15000000	sport 		17000000	weather 		NONE
dmf20211108_98066215	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 		9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 	1	12000000	religion 		13000000	science and technology 		14000000	society 	2	15000000	sport 		17000000	weather 		NONE
1637252023732	TOPIC	1000000	arts, culture, entertainment and media 		16000000	conflict, war and peace 		2000000	crime, law and justice 		3000000	disaster, accident and emergency incident 		4000000	economy, business and finance 	3	5000000	education 		6000000	environment 		7000000	health 		8000000	human interest 	2	9000000	labour 		10000000	lifestyle and leisure 		11000000	politics 		12000000	religion 		13000000	science and technology 		14000000	society 	1	15000000	sport 		17000000	weather 		NONE
